Facility Code,District,Facility Name,Facility Type,Net Storage (Litres): Actual,Net Storage (Litres): Required,Net Storage (Litres): Difference,Surplus
1009-0021,NORTH,Musumbe,Health post - MoH,0,0.59,-0.59,0
1009-0022,NORTH,Itulo,Health post - MoH,55,0.43,54.57,4
1009-0023,NORTH,Misuku,Health centre - MoH,45,9.09,35.91,4
1009-0024,NORTH,Kapoka,Health post - MoH,37.5,0.99,36.51,4
1009-0025,NORTH,Chisenga,Health post - MoH,24,0.79,23.21,4
1009-0026,NORTH,Chitipa District Vaccine Store,District vaccine store,120,63.72,56.28,4
1009-0027,NORTH,Chitipa District Hospital,District hospital - MoH,55,17.43,37.57,4
1010-0000,NORTH,Karonga District Hospital,District hospital - MoH,37.5,13.54,23.96,4
1010-0001,NORTH,Karonga District Vaccine Store,District vaccine store,192.5,95.55,96.95,4
1010-0002,NORTH,Wiliro,Health centre - MoH,75,2.57,72.43,4
1010-0003,NORTH,Vilaule,Health post - MoH,0,0.71,-0.71,0
1010-0004,NORTH,Mpata,Health centre - MoH,55,1.19,53.81,4
1010-0005,NORTH,Lupembe,Health centre - MoH,0,3.72,-3.72,0
1010-0006,NORTH,Mlare,Health centre - MoH,55,4.16,50.84,4
1010-0007,NORTH,Nyungwe,Health centre - MoH,75,5.78,69.22,4
1010-0008,NORTH,Wovwe Scheme,Health post - MoH,0,2.44,-2.44,0
1010-0009,NORTH,Tilora,Health post - MoH,0,5.07,-5.07,0
1010-0010,NORTH,Chilumba Garrison,Health centre - Private,0,1.6,-1.6,0
1010-0011,NORTH,St Annes,Health centre - CHAM,55,2.09,52.91,4
1010-0012,NORTH,Chilumba Rural Hospital,Rural hospital - MoH,75,6.45,68.55,4
1010-0013,NORTH,Kasoba,Health centre - MoH,0,7.75,-7.75,0
1010-0014,NORTH,Lupaso,Health post - MoH,0,2.33,-2.33,0
1010-0015,NORTH,Kaporo,Rural hospital - MoH,76,16.99,59.01,4
1010-0016,NORTH,Chikutu,Health post - MoH,55,1.48,53.52,4
1010-0017,NORTH,Atupele,Community hospital - CHAM,0,0.77,-0.77,0
1010-0018,NORTH,Iponga,Health centre - MoH,0,6.82,-6.82,0
1010-0019,NORTH,Songwe Border,Health post - MoH,0,1.72,-1.72,0
1010-0020,NORTH,Ngana,Health centre - MoH,0,1.21,-1.21,0
1010-0021,NORTH,Fulirwa,Health centre - MoH,85,14.29,70.71,4
1010-0022,NORTH,Hara,Health centre - MoH,0,3.09,-3.09,0
1010-0023,NORTH,Sangilo,Health centre - CHAM,0,3.84,-3.84,0
1010-0024,NORTH,Lwezga,Health centre - CHAM,0,0.88,-0.88,0
1011-0000,NORTH,St Peters Hospital,Hospital - CHAM,165,2.48,162.52,4
1011-0001,NORTH,Chizumulu Health Centre,Health centre - MoH,24,1.05,22.95,4
1012-0000,NORTH,Regional Vaccine Store,Regional vaccine store,1305,1801.47,-496.47,1
1012-0004,NORTH,St Jonns Hospital,Hospital - CHAM,105,13.31,91.69,4
1012-0005,NORTH,Banja La Mtsogolo mzuzu,Health centre - Private,24,19.66,4.34,3
1012-0006,NORTH,Mzuzu Central Hospital,Central hospital - MoH,0,19.66,-19.66,0
1012-0007,NORTH,MASM MZUZU,Health centre - Private,24,3.02,20.98,4
1012-0008,NORTH,EKWENDENI Mission Hospital,Hospital - CHAM,131,19.31,111.69,4
1012-0009,NORTH,Nkholongo Health Centre,Health centre - CHAM,0,3.48,-3.48,0
1012-0010,NORTH,Choma He Centrealth,Health centre - MoH,0,3.17,-3.17,0
1012-0011,NORTH,Ekwaiweni Dispensary,Health centre - MoH,0,2.82,-2.82,0
1012-0012,NORTH,Matuli Health centre,Health centre - MoH,0,3.58,-3.58,0
1012-0013,NORTH,Emsizini Heaqlth Centre,Health centre - MoH,17,3.13,13.87,4
1012-0014,NORTH,Mtwalo Health Centre,Health centre - MoH,24,3.86,20.14,4
1012-0015,NORTH,Njuyu Health Centre,Health centre - MoH,85,5.84,79.16,4
1012-0016,NORTH,Kafukule Health Centre,Health centre - MoH,60,4.29,55.71,4
1012-0017,NORTH,Luvwere Health Centre,Health centre - MoH,0,2.4,-2.4,0
1012-0018,NORTH,Mpherembe Health Centre,Health centre - MoH,37.5,10.57,26.93,4
1012-0019,NORTH,Kabwafu health Centre,Health centre - MoH,17,4.03,12.97,4
1012-0020,NORTH,Malidadi Health Centre,Health centre - MoH,0,5.06,-5.06,0
1012-0021,NORTH,Thunduwike Health Centre,Health centre - MoH,0,6.94,-6.94,0
1012-0022,NORTH,Enguthwini Health Centre,Health centre - MoH,24,5.81,18.19,4
1012-0023,NORTH,Kamwe Health Centre,Health centre - MoH,85,5.86,79.14,4
1012-0024,NORTH,Khuyo Clinic,Health post - MoH,24,4.96,19.04,4
1012-0025,NORTH,Bwengu Health Centre,Health centre - MoH,55,4.51,50.49,4
1012-0026,NORTH,Luzi Health Centre,Health centre - MoH,24,2.36,21.64,4
1012-0027,NORTH,Enukwenu HEALTH Centre,Health centre - MoH,105,6.37,98.63,4
1012-0028,NORTH,Mzuzu City Assembly Clinic,Health post - MoH,160,49.16,110.84,4
1012-0029,NORTH,KHUYUKUYU Health Centre,Health centre - MoH,105,2.26,102.74,4
1012-0030,NORTH,Lusangazi Dispensary,Dispensary - MoH,105,1.75,103.25,4
1012-0031,NORTH,Mzuzu Police Dispensary,Dispensary - Local Government,24,0.41,23.59,4
1012-0032,NORTH,Moyale Health Centre,Health centre - Private,55,1.47,53.53,4
1012-0033,NORTH,Mzuzu Healthy Centre,Health centre - MoH,60,4.84,55.16,4
1012-0034,NORTH,Mzimba North DHO Vaccine Store,District vaccine store,60,127.18,-67.18,0
1013-0000,NORTH,Endindeni,Health centre - MoH,0,7.73,-7.73,0
1013-0001,NORTH,Edingeni,Health centre - MoH,37.5,4.95,32.55,4
1013-0002,NORTH,Mzalangwe,Health centre - MoH,0,4.93,-4.93,0
1013-0003,NORTH,Madede,Health centre - MoH,24,4.76,19.24,4
1013-0004,NORTH,Bulala,Health centre - MoH,0,12.07,-12.07,0
1013-0005,NORTH,Hoho,Health centre - MoH,24,3.68,20.32,4
1013-0006,NORTH,Katete,Health centre - CHAM,55,5.58,49.42,4
1013-0007,NORTH,Manyamula,Health centre - MoH,18.2,8.71,9.49,4
1013-0008,NORTH,Mabiri,Health centre - CHAM,0,6.8,-6.8,0
1013-0009,NORTH,Mbarachanda,Health centre - MoH,37.5,5.35,32.15,4
1013-0010,NORTH,Kalikumbi,Health centre - CHAM,24,4.82,19.18,4
1013-0011,NORTH,Luwerezi,Health centre - MoH,85,8.78,76.22,4
1013-0012,NORTH,Mathandani,Health post - MoH,24,4.29,19.71,4
1013-0013,NORTH,Mtende,Health centre - MoH,55,5.83,49.17,4
1013-0014,NORTH,Khosolo,Health centre - MoH,55,6.42,48.58,4
1013-0015,NORTH,Msese,Health centre - MoH,37.5,2.54,34.96,4
1013-0016,NORTH,Vibangalala,Health centre - MoH,24,4.31,19.69,4
1013-0017,NORTH,Emfeni,Health centre - MoH,55,10.13,44.87,4
1013-0018,NORTH,Mkoma,Health centre - MoH,85,10.89,74.11,4
1013-0019,NORTH,Luviri,Health post - MoH,24,3.46,20.54,4
1013-0020,NORTH,Kabuwa,Health centre - MoH,85,1.75,83.25,4
1013-0021,NORTH,Jenda,Health centre - MoH,55,5.32,49.68,4
1013-0022,NORTH,Euthini,Rural hospital - MoH,55,8.69,46.31,4
1013-0023,NORTH,Ehehleni,Health centre - MoH,17,2.53,14.47,4
1013-0024,NORTH,Chikangawa,Health centre - MoH,105,3.19,101.81,4
1013-0025,NORTH,Luwawa,Health centre - MoH,17,1.79,15.21,4
1013-0026,NORTH,Raiply,Health centre - Private,24,3.39,20.61,4
1013-0027,NORTH,Lunjika,Health centre - CHAM,24,4.75,19.25,4
1013-0028,NORTH,Kamuteteka,Health centre - MoH,17,8.03,8.97,4
1013-0029,NORTH,Mzambazi,Community hospital - CHAM,60,6.96,53.04,4
1013-0030,NORTH,Mzimba South Vaccine Store,District vaccine store,420,175.63,244.37,4
1013-0031,NORTH,Embangweni Hospital,Hospital - CHAM,105,11.48,93.52,4
1013-0032,NORTH,Mzimba South District Hospital,District hospital - MoH,55,27.92,27.08,4
1013-0033,NORTH,Phala,Health post - MoH,24,1.84,22.16,4
1013-0034,NORTH,Mhalaunda,Health centre - CHAM,17.5,5.2,12.3,4
1014-0000,NORTH,NKHATA BAY,District vaccine store,181,81.31,99.69,4
1014-0001,NORTH,Nkhata Bay Facility District Hospital,District hospital - MoH,105,14.7,90.3,4
1014-0002,NORTH,Tchesamu,Health centre - MoH,85,1.56,83.44,4
1014-0003,NORTH,Kande Health Centre,Health centre - MoH,24,0.59,23.41,4
1014-0004,NORTH,Liuzi Health Centre,Health centre - MoH,0,4.94,-4.94,0
1014-0005,NORTH,Kachere,Health centre - MoH,105,9.25,95.75,4
1014-0006,NORTH,Tukombo,Health centre - Private,55,2.86,52.14,4
1014-0007,NORTH,Chintheche Rural Hospital,Rural hospital - MoH,55,8.23,46.77,4
1014-0008,NORTH,Kawiya Health Post,Health post - MoH,24,0.49,23.51,4
1014-0009,NORTH,Maula Health Centre,Health centre - MoH,105,7.47,97.53,4
1014-0010,NORTH,Chilembwe Health Centre,Health centre - MoH,85,2.23,82.77,4
1014-0011,NORTH,Vizara Dispensary,Health centre - Private,24,1.17,22.83,4
1014-0012,NORTH,Chitheka Health Centre,Health centre - MoH,0,3.26,-3.26,0
1014-0013,NORTH,Mzenga Health Centre,Health centre - MoH,79,12.86,66.14,4
1014-0014,NORTH,Kavuzi Clinic,Hospital - Private,160,2.89,157.11,4
1014-0015,NORTH,Kawalazi Clinic,Health centre - Private,24,1.16,22.84,4
1014-0016,NORTH,Chisala Health Centre,Health centre - MoH,24,3.47,20.53,4
1014-0017,NORTH,Chipunga Health Post,Health post - MoH,0,1,-1,0
1014-0018,NORTH,Chikwina,Health centre - MoH,0,3.58,-3.58,0
1014-0019,NORTH,Mpamba Health Centre,Health centre - MoH,0,6.99,-6.99,0
1014-0020,NORTH,Chombe Dispensary Private,Hospital - Private,105,1.75,103.25,4
1014-0021,NORTH,Luwawazi Health Centre,Health centre - MoH,17.5,2.15,15.35,4
1014-0022,NORTH,Kavuzi CCAP Clinic,Health centre - Private,0,1.32,-1.32,0
1014-0023,NORTH,Usisya Health Centre,Health centre - MoH,0,1.64,-1.64,0
1014-0024,NORTH,Bula Health Centre,Health centre - MoH,0,2.36,-2.36,0
1014-0025,NORTH,Nthungwa Health Centre,Health centre - MoH,0,1.51,-1.51,0
1014-0026,NORTH,Makumbo,Health post - MoH,0,0.91,-0.91,0
1014-0027,NORTH,Mtawa,Health post - MoH,55,0.35,54.65,4
1014-0028,NORTH,Khondowe,Health centre - MoH,85,0.95,84.05,4
1014-0029,NORTH,Ruarwe,Health centre - MoH,0,0.77,-0.77,0
1015-0000,NORTH,Ng'onga Health Centre,Health centre - MoH,24,3.3,20.7,4
1015-0001,NORTH,Muhuju Rural Hospital,Rural hospital - MoH,0,5.01,-5.01,0
1015-0002,NORTH,Phwezi Private Clinic,Health centre - Private,24,1.25,22.75,4
1015-0003,NORTH,Nzokoto Health Centre,Health centre - MoH,90,3.34,86.66,4
1015-0004,NORTH,Kasambara Health Centre,Health centre - Private,85,1.91,83.09,4
1015-0005,NORTH,Lura Health Centre,Health centre - MoH,55,2.44,52.56,4
1015-0006,NORTH,Livingstonia Mission Hospital,Hospital - CHAM,55,3.27,51.73,4
1015-0007,NORTH,Luwich Health Centre,Health centre - CHAM,24,1.88,22.12,4
1015-0008,NORTH,Chitimba Health Centre,Health centre - MoH,55,1.77,53.23,4
1015-0009,NORTH,Charo Health Centre,Health centre - CHAM,85,1.09,83.91,4
1015-0010,NORTH,Mphomha Health Centre,Health centre - MoH,24,2.89,21.11,4
1015-0011,NORTH,Nthenje Health Centre,Health centre - CHAM,0,1.68,-1.68,0
1015-0012,NORTH,Katowo Rural Hospital,Rural hospital - MoH,37.5,3.94,33.56,4
1015-0013,NORTH,Thazima Health Centre,Health centre - MoH,0,0.93,-0.93,0
1015-0014,NORTH,Mwazisi Health Centre,Health centre - MoH,37.5,5.99,31.51,4
1015-0015,NORTH,Bolero Rural Hospital,Rural hospital - MoH,60,14.58,45.42,4
1015-0016,NORTH,St Patricks Health Centre,Health centre - CHAM,24,1.48,22.52,4
1015-0017,NORTH,Mulowe Health Centre,Health centre - CHAM,55,2.4,52.6,4
1015-0018,NORTH,Jalawe Health Centre,Health centre - MoH,24,1.67,22.33,4
1015-0019,NORTH,Zunga Health Centre,Health centre - CHAM,0,0.72,-0.72,0
1015-0020,NORTH,Rumphi District Hospital,District hospital - MoH,105,8.66,96.34,4
1015-0021,NORTH,Rumphi District Vaccine Store,District vaccine store,0,62.5,-62.5,0
1016-0002,SOUTH,Dziwe,Health post - MoH,55,3.5,51.5,4
1016-0003,SOUTH,Utale 2,Health centre - CHAM,24,5.22,18.78,4
1016-0004,SOUTH,Utale 1,Health centre - CHAM,41,5.88,35.12,4
1016-0005,SOUTH,Phimbi,Health centre - MoH,55,7.49,47.51,4
1016-0006,SOUTH,Phalula,Health centre - CHAM,55,7.67,47.33,4
1016-0007,SOUTH,Kankao,Health centre - CHAM,55,8.6,46.4,4
1016-0008,SOUTH,Mbera,Health centre - MoH,76,17.18,58.82,4
1016-0009,SOUTH,Kalembo,Health centre - MoH,55,14.97,40.03,4
1016-0010,SOUTH,BALAKA,District hospital - MoH,105,27.38,77.62,4
1016-0011,SOUTH,BALAKA,District vaccine store,282,122.57,159.43,4
1016-0012,SOUTH,ULONGWE,Health centre - CHAM,76,5.39,70.61,4
1016-0013,SOUTH,NAMANOLO,Health centre - MoH,55,9.83,45.17,4
1016-0014,SOUTH,NANDUMBO,Health centre - MoH,24,4.86,19.14,4
1016-0015,SOUTH,MWIMA,Health post - MoH,55,9.26,45.74,4
1016-0016,SOUTH,kwitanda,Health centre - MoH,24,5.93,18.07,4
1016-0017,SOUTH,Chendausiku,Health centre - MoH,17,4.47,12.53,4
1017-0000,SOUTH,MACHINGA HOSPITAL,District hospital - MoH,109.5,13.61,95.89,4
1017-0001,SOUTH,MACHINGA DISTRICT VACCINE STORE,District vaccine store,45,187.07,-142.07,0
1017-0002,SOUTH,NAMANDANJE PARISH HEALTH CENTRE,Health centre - CHAM,55,6.51,48.49,4
1017-0003,SOUTH,NTAJA,Health centre - MoH,45,13.33,31.67,4
1017-0004,SOUTH,CHAMBA,Health centre - MoH,55,8.47,46.53,4
1017-0005,SOUTH,MPOSA,Health centre - CHAM,55,6.44,48.56,4
1017-0006,SOUTH,MPHETA HEALTH POST,Health post - MoH,17,4.5,12.5,4
1017-0007,SOUTH,GAWANANI HEALTH CENTRE,Health centre - CHAM,17,3.1,13.9,4
1017-0008,SOUTH,NGOKWE HEALTH CENTRE,Health centre - MoH,55,11.63,43.37,4
1017-0009,SOUTH,CHIMBIRA HEALTH POST,Health post - MoH,55,2.63,52.37,4
1017-0010,SOUTH,CHIKWEO HEALTH CENTRE,Health centre - MoH,92.5,25.35,67.15,4
1017-0011,SOUTH,CHIPOLONGA,Health post - MoH,75,9.65,65.35,4
1017-0012,SOUTH,ZUMULU HEALTH POST,Health post - MoH,0,3.93,-3.93,0
1017-0013,SOUTH,MLOMBA HEALTH CENTRE,Health centre - MoH,126.5,5.95,120.55,4
1017-0014,SOUTH,NAINUNJE HEALTH CENTRE,Health centre - MoH,75,6.23,68.77,4
1017-0015,SOUTH,MPIRI HEALTH CENTRE,Health centre - CHAM,55,8.29,46.71,4
1017-0016,SOUTH,CHISUWI HEALTH POST,Health post - MoH,24,5.5,18.5,4
1017-0017,SOUTH,NYAMBI HEALTH CENTRE,Health centre - MoH,165,9.56,155.44,4
1017-0018,SOUTH,MKWEPERE HEALTH CENTRE,Health centre - MoH,110,4.06,105.94,4
1017-0019,SOUTH,MWITIYA HEALTH POST,Health post - MoH,55,1.99,53.01,4
1017-0020,SOUTH,LIFUNE HEALTH CENTRE,Health centre - Private,24,1.68,22.32,4
1017-0021,SOUTH,KAWINGA HEALTH CENTRE,Health centre - MoH,55,8.09,46.91,4
1017-0022,SOUTH,CHITUNDU HEALTH POST,Health post - MoH,24,3.71,20.29,4
1017-0023,SOUTH,NSANAMA HEALTH CENTRE,Health centre - CHAM,112.5,13.02,99.48,4
1017-0024,SOUTH,NAMANJA HEALTH CENTRE,Health centre - MoH,55,10.17,44.83,4
1017-0025,SOUTH,LIKHONYOWA HEALTH POST,Health post - MoH,55,1.68,53.32,4
1017-0026,SOUTH,NAYUCHI HEALTH CENTRE,Health centre - MoH,63,5.05,57.95,4
1017-0027,SOUTH,CHAPUSA HEALTH POST,Health post - MoH,24,2.37,21.63,4
1017-0028,SOUTH,MBANIRA HEALTH POST,Health post - MoH,24,4.23,19.77,4
1017-0029,SOUTH,NTHOLOWA HEALTH CENTRE,Health centre - CHAM,0,3.68,-3.68,0
1017-0030,SOUTH,MBONECHERA DISPENSARY,Dispensary - MoH,0,3.27,-3.27,0
1017-0031,SOUTH,MANGAMBA HEALTH CENTRE,Health centre - MoH,55,7.08,47.92,4
1017-0032,SOUTH,CHIKULUMA HEALTH POST,Health post - MoH,55,1.56,53.44,4
1017-0033,SOUTH,MOLIPA HEALTH POST,Health post - MoH,24,4.44,19.56,4
1017-0034,SOUTH,MACHINGA HEALTH CENTRE,Health centre - MoH,0,5.81,-5.81,0
1018-0000,SOUTH,Mangochi District Vaccine Store,District vaccine store,210,284.14,-74.14,1
1018-0001,SOUTH,MANGOCHI,Health post - MoH,85,4.21,80.79,4
1018-0002,SOUTH,LULANGA,Health centre - CHAM,55,6.39,48.61,4
1018-0003,SOUTH,MAKANJIRA,Health centre - MoH,55,12.32,42.68,4
1018-0004,SOUTH,LUGOLA,Health centre - CHAM,37.5,6.09,31.41,4
1018-0005,SOUTH,KADANGO,Health centre - MoH,55,3.1,51.9,4
1018-0006,SOUTH,NAMALAKA,Health centre - CHAM,55,3.73,51.27,4
1018-0007,SOUTH,LUNGWENA,Health centre - MoH,55,11.76,43.24,4
1018-0008,SOUTH,ST MARTIN,Hospital - CHAM,60,10.82,49.18,4
1018-0009,SOUTH,MASE,Health centre - CHAM,37.5,11.23,26.27,4
1018-0010,SOUTH,MALOMBE,Health centre - MoH,55,6.24,48.76,4
1018-0011,SOUTH,CHIUNDA,Dispensary - MoH,37.5,11.23,26.27,4
1018-0012,SOUTH,MULI BWANJI,Hospital - CHAM,55,2.24,52.76,4
1018-0013,SOUTH,SINYALA,Health centre - MoH,55,6.44,48.56,4
1018-0014,SOUTH,MBALAMA,Health post - MoH,0,6.01,-6.01,0
1018-0015,SOUTH,MKUMBA,Health centre - MoH,55,7.96,47.04,4
1018-0016,SOUTH,NAMANGALAMU,Health centre - MoH,24,8.42,15.58,4
1018-0017,SOUTH,NANCHOLI,Dispensary - MoH,55,5.24,49.76,4
1018-0018,SOUTH,CHIPONDE,Dispensary - MoH,24,4.12,19.88,4
1018-0019,SOUTH,SISTER MARTHA,Health centre - CHAM,0,3.91,-3.91,0
1018-0020,SOUTH,MANGOCHI,District hospital - MoH,55,26.43,28.57,4
1018-0021,SOUTH,NAMWERA,Health centre - MoH,60,5.61,54.39,4
1018-0022,SOUTH,JALASI,Health centre - MoH,55,8.95,46.05,4
1018-0023,SOUTH,IBA,Dispensary - MoH,55,6.79,48.21,4
1018-0024,SOUTH,KUKALANGA,Health centre - MoH,55,11.79,43.21,4
1018-0025,SOUTH,MALETA,Health post - MoH,85,1.22,83.78,4
1018-0026,SOUTH,NGAPANI HEALTH CENTRE PRIVATE,Health centre - Private,24,4.43,19.57,4
1018-0027,SOUTH,KATULI HEALTH CENTRE,Health centre - MoH,24,7.97,16.03,4
1018-0028,SOUTH,LUWALIKA HEALTH CENTRE,Health centre - CHAM,55,6.82,48.18,4
1018-0029,SOUTH,CHIUMBANGAME HEALTH CENTRE,Dispensary - MoH,55,4.02,50.98,4
1018-0030,SOUTH,CHIKOLE HEALTH CENTRE,Health centre - MoH,24,2.94,21.06,4
1018-0031,SOUTH,MWATAKATA HEALTH CENTRE,Health post - MoH,10.5,2.51,7.99,4
1018-0032,SOUTH,NGATALA HEALTH CENTRE,Health post - MoH,0,5.12,-5.12,0
1018-0033,SOUTH,MTIMABI HEALTH CENTRE,Health centre - MoH,37.5,10.4,27.1,4
1018-0034,SOUTH,KATEMA HEALTH CENTRE,Health centre - CHAM,55,10.38,44.62,4
1018-0035,SOUTH,PHILILONGWE HEALTH CENTRE,Health centre - MoH,24,7.3,16.7,4
1018-0036,SOUTH,CHILIPA HEALTH CENTRE,Health centre - MoH,55,11.08,43.92,4
1018-0037,SOUTH,KAPALE,Health centre - CHAM,55,3.18,51.82,4
1018-0038,SOUTH,CHALOPA,Health post - MoH,55,6.59,48.41,4
1018-0039,SOUTH,ASSALAMU HEALTH CENTRE,Health centre - CHAM,55,3.15,51.85,4
1018-0040,SOUTH,NAMIYASI HEALTH CENTRE,Health post - MoH,24,4.43,19.57,4
1018-0041,SOUTH,CHILONGA HEALTH,Dispensary - MoH,0,4.14,-4.14,0
1018-0042,SOUTH,MALEMBO HEALTH CENTRE,Health centre - MoH,24,8.57,15.43,4
1018-0043,SOUTH,NANKHWALI HEALTH CENTRE,Health centre - MoH,55,3.45,51.55,4
1018-0044,SOUTH,NKOPE HEALTH CENTRE,Health centre - CHAM,55,7.92,47.08,4
1018-0045,SOUTH,MONKEYBAY HEALTH CENTRE,Rural hospital - MoH,181,10.62,170.38,4
1018-0046,SOUTH,KOCHE HEALTH CENTRE,Health centre - CHAM,76,13.85,62.15,4
1018-0047,SOUTH,MPONDASI HEALTH CENTRE,Health centre - CHAM,24,6.47,17.53,4
1018-0048,SOUTH,NANKUMBA HEALTH CENTRE,Health centre - MoH,55,8.85,46.15,4
1019-0000,SOUTH,Mulanje District Hospital,District hospital - MoH,24,10.86,13.14,4
1019-0001,SOUTH,Mulanje District Vaccine Store,District vaccine store,105,174.52,-69.52,0
1019-0002,SOUTH,Milonde,Health centre - MoH,55,5.86,49.14,4
1019-0003,SOUTH,Mpala,Health centre - MoH,55,8.56,46.44,4
1019-0004,SOUTH,Mimosa Dispensary,Dispensary - MoH,0,8.77,-8.77,0
1019-0005,SOUTH,Rou Estate Dispensary,Health centre - Private,24,0.58,23.42,4
1019-0006,SOUTH,Namasalima Healt Centre,Health centre - CHAM,18,7.47,10.53,4
1019-0007,SOUTH,Muloza Health Centre,Health centre - MoH,55,15.3,39.7,4
1019-0008,SOUTH,Chisambo Dispensary,Health centre - Private,55,0.55,54.45,4
1019-0009,SOUTH,Naphimba,Health centre - MoH,17,5.83,11.17,4
1019-0010,SOUTH,Lujeri Tea Estate,Health centre - Private,37.5,4.93,32.57,4
1019-0011,SOUTH,Chambe Health Centre,Health centre - MoH,55,15.79,39.21,4
1019-0012,SOUTH,Kambenje Health Centre,Health centre - MoH,129,6.53,122.47,4
1019-0013,SOUTH,Mulomba Mealth Centre,Health centre - MoH,85,7.38,77.62,4
1019-0014,SOUTH,Kamwendo Health Post,Health post - MoH,55,12.34,42.66,4
1019-0015,SOUTH,Nkomaula Health Centre,Health centre - MoH,24,6.49,17.51,4
1019-0016,SOUTH,Namphungo Health Centre,Health centre - MoH,55,12.1,42.9,4
1019-0017,SOUTH,Namulenga Health Centre,Health centre - CHAM,24,3.1,20.9,4
1019-0018,SOUTH,Thuchila Health Centre,Health centre - MoH,55,12.42,42.58,4
1019-0019,SOUTH,Chonde Health Centre,Health centre - MoH,60,15.03,44.97,4
1019-0020,SOUTH,Mbiza Health Centre,Health centre - MoH,24,12.38,11.62,4
1019-0021,SOUTH,Chinyama Health Centre,Health centre - MoH,24,8.02,15.98,4
1019-0022,SOUTH,Dzenje Maternity,Maternity - MoH,24,2.04,21.96,4
1019-0023,SOUTH,Thembe Dispensary,Health centre - CHAM,55,4.81,50.19,4
1019-0024,SOUTH,Mulanje Mission Hospital,Hospital - CHAM,55,17.3,37.7,4
1019-0025,SOUTH,Chisitu Dispensary,Dispensary - MoH,24,0.88,23.12,4
1019-0026,SOUTH,Bondo Health Centre,Health centre - MoH,55,7.83,47.17,4
1020-0000,SOUTH,Phalombe District Hospital,District hospital - MoH,105,9.1,95.9,4
1020-0001,SOUTH,Phalombe DHO Vaccine Store,District vaccine store,210,110.16,99.84,4
1020-0002,SOUTH,Holy Family Hospital,Health centre - CHAM,60,10.3,49.7,4
1020-0003,SOUTH,Sukasanje,Health centre - CHAM,55,3.95,51.05,4
1020-0004,SOUTH,Nkhulambe health Centre,Health centre - MoH,79,6.02,72.98,4
1020-0005,SOUTH,Mulungu Alinafe,Health post - MoH,24,3.47,20.53,4
1020-0006,SOUTH,Nambiti Health Post,Health post - MoH,24,4.25,19.75,4
1020-0007,SOUTH,Chilinga Maternity,Health centre - MoH,24,3.88,20.12,4
1020-0008,SOUTH,Nazombe Health Centre,Health centre - MoH,24,5.96,18.04,4
1020-0009,SOUTH,Nambazo health Centre,Health centre - MoH,60,13.43,46.57,4
1020-0010,SOUTH,Migowi Health Centre,Health centre - MoH,55,7.57,47.43,4
1020-0011,SOUTH,Kalinde Health Centre,Health centre - MoH,85,10.56,74.44,4
1020-0012,SOUTH,Waluma health post,Health post - MoH,0,7.52,-7.52,0
1020-0013,SOUTH,Mpasa Health Centre,Health centre - MoH,55,10.95,44.05,4
1020-0014,SOUTH,Mwanga Health Centre,Health centre - CHAM,63,6.53,56.47,4
1020-0015,SOUTH,Nkhwayi Health Centre,Health centre - MoH,0,10.28,-10.28,0
1020-0016,SOUTH,Chitekesa Health centre,Health centre - MoH,63,11.51,51.49,4
1021-0000,SOUTH,Zomba Central Hospital,Central hospital - MoH,55,20.88,34.12,4
1021-0001,SOUTH,Zomba DHO,District vaccine store,323.5,231.76,91.74,4
1021-0002,SOUTH,Zomba DHO Facility,District hospital - MoH,55,13.48,41.52,4
1021-0003,SOUTH,Cobbe Barracks,Hospital - Private,55,1.74,53.26,4
1021-0004,SOUTH,Mmambo Health Centre,Health centre - MoH,55,6.45,48.55,4
1021-0005,SOUTH,Nkasala Health Centre,Health centre - MoH,160,6.23,153.77,4
1021-0006,SOUTH,Masm Clinic,Health centre - Private,55,0.12,54.88,4
1021-0007,SOUTH,Chilipa Health Centre,Health centre - CHAM,55,4.44,50.56,4
1021-0008,SOUTH,Chipini Health Centre,Health centre - MoH,55,8.34,46.66,4
1021-0009,SOUTH,Chingale Health Centre,Health centre - MoH,55,10.28,44.72,4
1021-0010,SOUTH,Changalume Health Centre,Health centre - MoH,55,1.16,53.84,4
1021-0011,SOUTH,Namikango Maternity,Health centre - CHAM,60,2.17,57.83,4
1021-0012,SOUTH,Lambulira Health Centre,Health centre - MoH,55,10.05,44.95,4
1021-0013,SOUTH,Magomero Health Centre,Health centre - CHAM,17,9.34,7.66,4
1021-0014,SOUTH,Nasawa Health Centre,Health centre - MoH,110,11.54,98.46,4
1021-0015,SOUTH,Mayaka Health Centre,Health centre - MoH,55,18.52,36.48,4
1021-0016,SOUTH,Ngwelero Health Centre,Health centre - MoH,17,10.1,6.9,4
1021-0017,SOUTH,Pilimiti Hospital,Hospital - Private,55,10.95,44.05,4
1021-0018,SOUTH,Likangala Health Centre,Health centre - MoH,55,12.62,42.38,4
1021-0019,SOUTH,Chamba Health Centre,Health centre - MoH,55,8.48,46.52,4
1021-0020,SOUTH,Makwapala Health Centre,Health centre - MoH,37.5,13.12,24.38,4
1021-0021,SOUTH,Bimbi,Health centre - MoH,92.5,8.82,83.68,4
1021-0022,SOUTH,Namasalima,Health centre - MoH,55,5.43,49.57,4
1021-0023,SOUTH,St Lukes,Hospital - CHAM,105,3.9,101.1,4
1021-0024,SOUTH,Machinjiri,Health centre - MoH,55,3.25,51.75,4
