Facility Code,District,Facility Name,Facility Type,Net Storage (Litres): Actual,Net Storage (Litres): Required,Net Storage (Litres): Difference,Surplus
1009-0021,NORTH,Musumbe,Health post - MoH,0,0.89,-0.89,0
1009-0022,NORTH,Itulo,Health post - MoH,55,0.65,54.35,4
1009-0023,NORTH,Misuku,Health centre - MoH,45,13.66,31.34,4
1009-0024,NORTH,Kapoka,Health post - MoH,37.5,1.48,36.02,4
1009-0025,NORTH,Chisenga,Health post - MoH,24,1.19,22.81,4
1009-0026,NORTH,Chitipa District Vaccine Store,District vaccine store,120,98.71,21.29,3
1009-0027,NORTH,Chitipa District Hospital,District hospital - MoH,55,26.18,28.82,4
1010-0000,NORTH,Karonga District Hospital,District hospital - MoH,37.5,20.34,17.16,4
1010-0001,NORTH,Karonga District Vaccine Store,District vaccine store,192.5,148.02,44.48,4
1010-0002,NORTH,Wiliro,Health centre - MoH,75,3.86,71.14,4
1010-0003,NORTH,Vilaule,Health post - MoH,0,1.07,-1.07,0
1010-0004,NORTH,Mpata,Health centre - MoH,55,1.79,53.21,4
1010-0005,NORTH,Lupembe,Health centre - MoH,0,5.58,-5.58,0
1010-0006,NORTH,Mlare,Health centre - MoH,55,6.25,48.75,4
1010-0007,NORTH,Nyungwe,Health centre - MoH,75,8.68,66.32,4
1010-0008,NORTH,Wovwe Scheme,Health post - MoH,0,3.67,-3.67,0
1010-0009,NORTH,Tilora,Health post - MoH,0,7.62,-7.62,0
1010-0010,NORTH,Chilumba Garrison,Health centre - Private,0,2.4,-2.4,0
1010-0011,NORTH,St Annes,Health centre - CHAM,55,3.14,51.86,4
1010-0012,NORTH,Chilumba Rural Hospital,Rural hospital - MoH,75,9.69,65.31,4
1010-0013,NORTH,Kasoba,Health centre - MoH,0,11.64,-11.64,0
1010-0014,NORTH,Lupaso,Health post - MoH,0,3.49,-3.49,0
1010-0015,NORTH,Kaporo,Rural hospital - MoH,76,25.51,50.49,4
1010-0016,NORTH,Chikutu,Health post - MoH,55,2.22,52.78,4
1010-0017,NORTH,Atupele,Community hospital - CHAM,0,1.16,-1.16,0
1010-0018,NORTH,Iponga,Health centre - MoH,0,10.24,-10.24,0
1010-0019,NORTH,Songwe Border,Health post - MoH,0,2.59,-2.59,0
1010-0020,NORTH,Ngana,Health centre - MoH,0,1.82,-1.82,0
1010-0021,NORTH,Fulirwa,Health centre - MoH,85,21.47,63.53,4
1010-0022,NORTH,Hara,Health centre - MoH,0,4.64,-4.64,0
1010-0023,NORTH,Sangilo,Health centre - CHAM,0,5.76,-5.76,0
1010-0024,NORTH,Lwezga,Health centre - CHAM,0,1.32,-1.32,0
1011-0000,NORTH,St Peters Hospital,Hospital - CHAM,165,3.73,161.27,4
1011-0001,NORTH,Chizumulu Health Centre,Health centre - MoH,24,1.58,22.42,4
1012-0000,NORTH,Regional Vaccine Store,Regional vaccine store,1305,2790.87,-1485.87,0
1012-0004,NORTH,St Jonns Hospital,Hospital - CHAM,105,19.99,85.01,4
1012-0005,NORTH,Banja La Mtsogolo mzuzu,Health centre - Private,24,29.53,-5.53,1
1012-0006,NORTH,Mzuzu Central Hospital,Central hospital - MoH,0,29.53,-29.53,0
1012-0007,NORTH,MASM MZUZU,Health centre - Private,24,4.68,19.32,4
1012-0008,NORTH,EKWENDENI Mission Hospital,Hospital - CHAM,131,29,102,4
1012-0009,NORTH,Nkholongo Health Centre,Health centre - CHAM,0,5.23,-5.23,0
1012-0010,NORTH,Choma He Centrealth,Health centre - MoH,0,4.76,-4.76,0
1012-0011,NORTH,Ekwaiweni Dispensary,Health centre - MoH,0,4.23,-4.23,0
1012-0012,NORTH,Matuli Health centre,Health centre - MoH,0,5.38,-5.38,0
1012-0013,NORTH,Emsizini Heaqlth Centre,Health centre - MoH,17,4.7,12.3,4
1012-0014,NORTH,Mtwalo Health Centre,Health centre - MoH,24,5.8,18.2,4
1012-0015,NORTH,Njuyu Health Centre,Health centre - MoH,85,8.77,76.23,4
1012-0016,NORTH,Kafukule Health Centre,Health centre - MoH,60,6.44,53.56,4
1012-0017,NORTH,Luvwere Health Centre,Health centre - MoH,0,3.61,-3.61,0
1012-0018,NORTH,Mpherembe Health Centre,Health centre - MoH,37.5,15.88,21.62,4
1012-0019,NORTH,Kabwafu health Centre,Health centre - MoH,17,6.05,10.95,4
1012-0020,NORTH,Malidadi Health Centre,Health centre - MoH,0,7.6,-7.6,0
1012-0021,NORTH,Thunduwike Health Centre,Health centre - MoH,0,10.43,-10.43,0
1012-0022,NORTH,Enguthwini Health Centre,Health centre - MoH,24,8.73,15.27,4
1012-0023,NORTH,Kamwe Health Centre,Health centre - MoH,85,8.81,76.19,4
1012-0024,NORTH,Khuyo Clinic,Health post - MoH,24,7.45,16.55,4
1012-0025,NORTH,Bwengu Health Centre,Health centre - MoH,55,6.78,48.22,4
1012-0026,NORTH,Luzi Health Centre,Health centre - MoH,24,3.54,20.46,4
1012-0027,NORTH,Enukwenu HEALTH Centre,Health centre - MoH,105,9.57,95.43,4
1012-0028,NORTH,Mzuzu City Assembly Clinic,Health post - MoH,160,73.84,86.16,4
1012-0029,NORTH,KHUYUKUYU Health Centre,Health centre - MoH,105,3.4,101.6,4
1012-0030,NORTH,Lusangazi Dispensary,Dispensary - MoH,105,2.63,102.37,4
1012-0031,NORTH,Mzuzu Police Dispensary,Dispensary - Local Government,24,0.62,23.38,4
1012-0032,NORTH,Moyale Health Centre,Health centre - Private,55,2.2,52.8,4
1012-0033,NORTH,Mzuzu Healthy Centre,Health centre - MoH,60,7.27,52.73,4
1012-0034,NORTH,Mzimba North DHO Vaccine Store,District vaccine store,60,197.03,-137.03,0
1013-0000,NORTH,Endindeni,Health centre - MoH,0,11.61,-11.61,0
1013-0001,NORTH,Edingeni,Health centre - MoH,37.5,7.43,30.07,4
1013-0002,NORTH,Mzalangwe,Health centre - MoH,0,7.4,-7.4,0
1013-0003,NORTH,Madede,Health centre - MoH,24,7.15,16.85,4
1013-0004,NORTH,Bulala,Health centre - MoH,0,18.13,-18.13,0
1013-0005,NORTH,Hoho,Health centre - MoH,24,5.52,18.48,4
1013-0006,NORTH,Katete,Health centre - CHAM,55,8.38,46.62,4
1013-0007,NORTH,Manyamula,Health centre - MoH,18.2,13.09,5.11,4
1013-0008,NORTH,Mabiri,Health centre - CHAM,0,10.21,-10.21,0
1013-0009,NORTH,Mbarachanda,Health centre - MoH,37.5,8.04,29.46,4
1013-0010,NORTH,Kalikumbi,Health centre - CHAM,24,7.24,16.76,4
1013-0011,NORTH,Luwerezi,Health centre - MoH,85,13.19,71.81,4
1013-0012,NORTH,Mathandani,Health post - MoH,24,6.44,17.56,4
1013-0013,NORTH,Mtende,Health centre - MoH,55,8.76,46.24,4
1013-0014,NORTH,Khosolo,Health centre - MoH,55,9.64,45.36,4
1013-0015,NORTH,Msese,Health centre - MoH,37.5,3.81,33.69,4
1013-0016,NORTH,Vibangalala,Health centre - MoH,24,6.47,17.53,4
1013-0017,NORTH,Emfeni,Health centre - MoH,55,15.21,39.79,4
1013-0018,NORTH,Mkoma,Health centre - MoH,85,16.35,68.65,4
1013-0019,NORTH,Luviri,Health post - MoH,24,5.2,18.8,4
1013-0020,NORTH,Kabuwa,Health centre - MoH,85,2.63,82.37,4
1013-0021,NORTH,Jenda,Health centre - MoH,55,7.99,47.01,4
1013-0022,NORTH,Euthini,Rural hospital - MoH,55,13.05,41.95,4
1013-0023,NORTH,Ehehleni,Health centre - MoH,17,3.8,13.2,4
1013-0024,NORTH,Chikangawa,Health centre - MoH,105,4.8,100.2,4
1013-0025,NORTH,Luwawa,Health centre - MoH,17,2.69,14.31,4
1013-0026,NORTH,Raiply,Health centre - Private,24,5.1,18.9,4
1013-0027,NORTH,Lunjika,Health centre - CHAM,24,7.13,16.87,4
1013-0028,NORTH,Kamuteteka,Health centre - MoH,17,12.06,4.94,4
1013-0029,NORTH,Mzambazi,Community hospital - CHAM,60,10.45,49.55,4
1013-0030,NORTH,Mzimba South Vaccine Store,District vaccine store,420,272.09,147.91,4
1013-0031,NORTH,Embangweni Hospital,Hospital - CHAM,105,17.25,87.75,4
1013-0032,NORTH,Mzimba South District Hospital,District hospital - MoH,55,41.94,13.06,4
1013-0033,NORTH,Phala,Health post - MoH,24,2.76,21.24,4
1013-0034,NORTH,Mhalaunda,Health centre - CHAM,17.5,7.8,9.7,4
1014-0000,NORTH,NKHATA BAY,District vaccine store,181,122.13,58.87,4
1014-0001,NORTH,Nkhata Bay Facility District Hospital,District hospital - MoH,105,22.08,82.92,4
1014-0002,NORTH,Tchesamu,Health centre - MoH,85,2.35,82.65,4
1014-0003,NORTH,Kande Health Centre,Health centre - MoH,24,0.88,23.12,4
1014-0004,NORTH,Liuzi Health Centre,Health centre - MoH,0,7.42,-7.42,0
1014-0005,NORTH,Kachere,Health centre - MoH,105,13.89,91.11,4
1014-0006,NORTH,Tukombo,Health centre - Private,55,4.3,50.7,4
1014-0007,NORTH,Chintheche Rural Hospital,Rural hospital - MoH,55,12.36,42.64,4
1014-0008,NORTH,Kawiya Health Post,Health post - MoH,24,0.73,23.27,4
1014-0009,NORTH,Maula Health Centre,Health centre - MoH,105,11.22,93.78,4
1014-0010,NORTH,Chilembwe Health Centre,Health centre - MoH,85,3.35,81.65,4
1014-0011,NORTH,Vizara Dispensary,Health centre - Private,24,1.76,22.24,4
1014-0012,NORTH,Chitheka Health Centre,Health centre - MoH,0,4.89,-4.89,0
1014-0013,NORTH,Mzenga Health Centre,Health centre - MoH,79,19.32,59.68,4
1014-0014,NORTH,Kavuzi Clinic,Hospital - Private,160,4.35,155.65,4
1014-0015,NORTH,Kawalazi Clinic,Health centre - Private,24,1.74,22.26,4
1014-0016,NORTH,Chisala Health Centre,Health centre - MoH,24,5.21,18.79,4
1014-0017,NORTH,Chipunga Health Post,Health post - MoH,0,1.5,-1.5,0
1014-0018,NORTH,Chikwina,Health centre - MoH,0,5.38,-5.38,0
1014-0019,NORTH,Mpamba Health Centre,Health centre - MoH,0,10.5,-10.5,0
1014-0020,NORTH,Chombe Dispensary Private,Hospital - Private,105,2.63,102.37,4
1014-0021,NORTH,Luwawazi Health Centre,Health centre - MoH,17.5,3.23,14.27,4
1014-0022,NORTH,Kavuzi CCAP Clinic,Health centre - Private,0,1.99,-1.99,0
1014-0023,NORTH,Usisya Health Centre,Health centre - MoH,0,2.46,-2.46,0
1014-0024,NORTH,Bula Health Centre,Health centre - MoH,0,3.54,-3.54,0
1014-0025,NORTH,Nthungwa Health Centre,Health centre - MoH,0,2.27,-2.27,0
1014-0026,NORTH,Makumbo,Health post - MoH,0,1.37,-1.37,0
1014-0027,NORTH,Mtawa,Health post - MoH,55,0.53,54.47,4
1014-0028,NORTH,Khondowe,Health centre - MoH,85,1.43,83.57,4
1014-0029,NORTH,Ruarwe,Health centre - MoH,0,1.16,-1.16,0
1015-0000,NORTH,Ng'onga Health Centre,Health centre - MoH,24,4.96,19.04,4
1015-0001,NORTH,Muhuju Rural Hospital,Rural hospital - MoH,0,7.52,-7.52,0
1015-0002,NORTH,Phwezi Private Clinic,Health centre - Private,24,1.88,22.12,4
1015-0003,NORTH,Nzokoto Health Centre,Health centre - MoH,90,5.02,84.98,4
1015-0004,NORTH,Kasambara Health Centre,Health centre - Private,85,2.87,82.13,4
1015-0005,NORTH,Lura Health Centre,Health centre - MoH,55,3.66,51.34,4
1015-0006,NORTH,Livingstonia Mission Hospital,Hospital - CHAM,55,4.91,50.09,4
1015-0007,NORTH,Luwich Health Centre,Health centre - CHAM,24,2.82,21.18,4
1015-0008,NORTH,Chitimba Health Centre,Health centre - MoH,55,2.66,52.34,4
1015-0009,NORTH,Charo Health Centre,Health centre - CHAM,85,1.64,83.36,4
1015-0010,NORTH,Mphomha Health Centre,Health centre - MoH,24,4.35,19.65,4
1015-0011,NORTH,Nthenje Health Centre,Health centre - CHAM,0,2.53,-2.53,0
1015-0012,NORTH,Katowo Rural Hospital,Rural hospital - MoH,37.5,5.92,31.58,4
1015-0013,NORTH,Thazima Health Centre,Health centre - MoH,0,1.4,-1.4,0
1015-0014,NORTH,Mwazisi Health Centre,Health centre - MoH,37.5,9,28.5,4
1015-0015,NORTH,Bolero Rural Hospital,Rural hospital - MoH,60,21.9,38.1,4
1015-0016,NORTH,St Patricks Health Centre,Health centre - CHAM,24,2.22,21.78,4
1015-0017,NORTH,Mulowe Health Centre,Health centre - CHAM,55,3.61,51.39,4
1015-0018,NORTH,Jalawe Health Centre,Health centre - MoH,24,2.58,21.42,4
1015-0019,NORTH,Zunga Health Centre,Health centre - CHAM,0,1.08,-1.08,0
1015-0020,NORTH,Rumphi District Hospital,District hospital - MoH,105,13,92,4
1015-0021,NORTH,Rumphi District Vaccine Store,District vaccine store,0,96.82,-96.82,0
1016-0002,SOUTH,Dziwe,Health post - MoH,55,5.26,49.74,4
1016-0003,SOUTH,Utale 2,Health centre - CHAM,24,7.84,16.16,4
1016-0004,SOUTH,Utale 1,Health centre - CHAM,41,8.83,32.17,4
1016-0005,SOUTH,Phimbi,Health centre - MoH,55,11.25,43.75,4
1016-0006,SOUTH,Phalula,Health centre - CHAM,55,11.52,43.48,4
1016-0007,SOUTH,Kankao,Health centre - CHAM,55,12.92,42.08,4
1016-0008,SOUTH,Mbera,Health centre - MoH,76,25.81,50.19,4
1016-0009,SOUTH,Kalembo,Health centre - MoH,55,22.48,32.52,4
1016-0010,SOUTH,BALAKA,District hospital - MoH,105,41.12,63.88,4
1016-0011,SOUTH,BALAKA,District vaccine store,282,184.11,97.89,4
1016-0012,SOUTH,ULONGWE,Health centre - CHAM,76,8.1,67.9,4
1016-0013,SOUTH,NAMANOLO,Health centre - MoH,55,14.77,40.23,4
1016-0014,SOUTH,NANDUMBO,Health centre - MoH,24,7.3,16.7,4
1016-0015,SOUTH,MWIMA,Health post - MoH,55,13.91,41.09,4
1016-0016,SOUTH,kwitanda,Health centre - MoH,24,8.91,15.09,4
1016-0017,SOUTH,Chendausiku,Health centre - MoH,17,6.71,10.29,4
1017-0000,SOUTH,MACHINGA HOSPITAL,District hospital - MoH,109.5,20.44,89.06,4
1017-0001,SOUTH,MACHINGA DISTRICT VACCINE STORE,District vaccine store,45,280.98,-235.98,0
1017-0002,SOUTH,NAMANDANJE PARISH HEALTH CENTRE,Health centre - CHAM,55,9.78,45.22,4
1017-0003,SOUTH,NTAJA,Health centre - MoH,45,20.03,24.97,4
1017-0004,SOUTH,CHAMBA,Health centre - MoH,55,12.72,42.28,4
1017-0005,SOUTH,MPOSA,Health centre - CHAM,55,9.68,45.32,4
1017-0006,SOUTH,MPHETA HEALTH POST,Health post - MoH,17,6.76,10.24,4
1017-0007,SOUTH,GAWANANI HEALTH CENTRE,Health centre - CHAM,17,4.66,12.34,4
1017-0008,SOUTH,NGOKWE HEALTH CENTRE,Health centre - MoH,55,17.46,37.54,4
1017-0009,SOUTH,CHIMBIRA HEALTH POST,Health post - MoH,55,3.95,51.05,4
1017-0010,SOUTH,CHIKWEO HEALTH CENTRE,Health centre - MoH,92.5,38.07,54.43,4
1017-0011,SOUTH,CHIPOLONGA,Health post - MoH,75,14.49,60.51,4
1017-0012,SOUTH,ZUMULU HEALTH POST,Health post - MoH,0,5.9,-5.9,0
1017-0013,SOUTH,MLOMBA HEALTH CENTRE,Health centre - MoH,126.5,8.94,117.56,4
1017-0014,SOUTH,NAINUNJE HEALTH CENTRE,Health centre - MoH,75,9.36,65.64,4
1017-0015,SOUTH,MPIRI HEALTH CENTRE,Health centre - CHAM,55,12.45,42.55,4
1017-0016,SOUTH,CHISUWI HEALTH POST,Health post - MoH,24,8.26,15.74,4
1017-0017,SOUTH,NYAMBI HEALTH CENTRE,Health centre - MoH,165,14.36,150.64,4
1017-0018,SOUTH,MKWEPERE HEALTH CENTRE,Health centre - MoH,110,6.1,103.9,4
1017-0019,SOUTH,MWITIYA HEALTH POST,Health post - MoH,55,2.99,52.01,4
1017-0020,SOUTH,LIFUNE HEALTH CENTRE,Health centre - Private,24,2.53,21.47,4
1017-0021,SOUTH,KAWINGA HEALTH CENTRE,Health centre - MoH,55,12.15,42.85,4
1017-0022,SOUTH,CHITUNDU HEALTH POST,Health post - MoH,24,5.57,18.43,4
1017-0023,SOUTH,NSANAMA HEALTH CENTRE,Health centre - CHAM,112.5,19.56,92.94,4
1017-0024,SOUTH,NAMANJA HEALTH CENTRE,Health centre - MoH,55,15.28,39.72,4
1017-0025,SOUTH,LIKHONYOWA HEALTH POST,Health post - MoH,55,2.53,52.47,4
1017-0026,SOUTH,NAYUCHI HEALTH CENTRE,Health centre - MoH,63,7.59,55.41,4
1017-0027,SOUTH,CHAPUSA HEALTH POST,Health post - MoH,24,3.56,20.44,4
1017-0028,SOUTH,MBANIRA HEALTH POST,Health post - MoH,24,6.35,17.65,4
1017-0029,SOUTH,NTHOLOWA HEALTH CENTRE,Health centre - CHAM,0,5.52,-5.52,0
1017-0030,SOUTH,MBONECHERA DISPENSARY,Dispensary - MoH,0,4.92,-4.92,0
1017-0031,SOUTH,MANGAMBA HEALTH CENTRE,Health centre - MoH,55,10.64,44.36,4
1017-0032,SOUTH,CHIKULUMA HEALTH POST,Health post - MoH,55,2.34,52.66,4
1017-0033,SOUTH,MOLIPA HEALTH POST,Health post - MoH,24,6.67,17.33,4
1017-0034,SOUTH,MACHINGA HEALTH CENTRE,Health centre - MoH,0,8.73,-8.73,0
1018-0000,SOUTH,Mangochi District Vaccine Store,District vaccine store,210,440.2,-230.2,0
1018-0001,SOUTH,MANGOCHI,Health post - MoH,85,6.32,78.68,4
1018-0002,SOUTH,LULANGA,Health centre - CHAM,55,9.6,45.4,4
1018-0003,SOUTH,MAKANJIRA,Health centre - MoH,55,18.5,36.5,4
1018-0004,SOUTH,LUGOLA,Health centre - CHAM,37.5,9.14,28.36,4
1018-0005,SOUTH,KADANGO,Health centre - MoH,55,4.66,50.34,4
1018-0006,SOUTH,NAMALAKA,Health centre - CHAM,55,5.6,49.4,4
1018-0007,SOUTH,LUNGWENA,Health centre - MoH,55,17.66,37.34,4
1018-0008,SOUTH,ST MARTIN,Hospital - CHAM,60,16.25,43.75,4
1018-0009,SOUTH,MASE,Health centre - CHAM,37.5,16.87,20.63,4
1018-0010,SOUTH,MALOMBE,Health centre - MoH,55,9.37,45.63,4
1018-0011,SOUTH,CHIUNDA,Dispensary - MoH,37.5,16.87,20.63,4
1018-0012,SOUTH,MULI BWANJI,Hospital - CHAM,55,3.36,51.64,4
1018-0013,SOUTH,SINYALA,Health centre - MoH,55,9.68,45.32,4
1018-0014,SOUTH,MBALAMA,Health post - MoH,0,9.31,-9.31,0
1018-0015,SOUTH,MKUMBA,Health centre - MoH,55,11.96,43.04,4
1018-0016,SOUTH,NAMANGALAMU,Health centre - MoH,24,12.65,11.35,4
1018-0017,SOUTH,NANCHOLI,Dispensary - MoH,55,7.88,47.12,4
1018-0018,SOUTH,CHIPONDE,Dispensary - MoH,24,6.19,17.81,4
1018-0019,SOUTH,SISTER MARTHA,Health centre - CHAM,0,5.87,-5.87,0
1018-0020,SOUTH,MANGOCHI,District hospital - MoH,55,39.69,15.31,4
1018-0021,SOUTH,NAMWERA,Health centre - MoH,60,8.43,51.57,4
1018-0022,SOUTH,JALASI,Health centre - MoH,55,13.45,41.55,4
1018-0023,SOUTH,IBA,Dispensary - MoH,55,10.2,44.8,4
1018-0024,SOUTH,KUKALANGA,Health centre - MoH,55,17.71,37.29,4
1018-0025,SOUTH,MALETA,Health post - MoH,85,1.83,83.17,4
1018-0026,SOUTH,NGAPANI HEALTH CENTRE PRIVATE,Health centre - Private,24,6.65,17.35,4
1018-0027,SOUTH,KATULI HEALTH CENTRE,Health centre - MoH,24,11.98,12.02,4
1018-0028,SOUTH,LUWALIKA HEALTH CENTRE,Health centre - CHAM,55,10.24,44.76,4
1018-0029,SOUTH,CHIUMBANGAME HEALTH CENTRE,Dispensary - MoH,55,6.04,48.96,4
1018-0030,SOUTH,CHIKOLE HEALTH CENTRE,Health centre - MoH,24,4.41,19.59,4
1018-0031,SOUTH,MWATAKATA HEALTH CENTRE,Health post - MoH,10.5,3.77,6.73,4
1018-0032,SOUTH,NGATALA HEALTH CENTRE,Health post - MoH,0,7.69,-7.69,0
1018-0033,SOUTH,MTIMABI HEALTH CENTRE,Health centre - MoH,37.5,15.62,21.88,4
1018-0034,SOUTH,KATEMA HEALTH CENTRE,Health centre - CHAM,55,15.59,39.41,4
1018-0035,SOUTH,PHILILONGWE HEALTH CENTRE,Health centre - MoH,24,10.96,13.04,4
1018-0036,SOUTH,CHILIPA HEALTH CENTRE,Health centre - MoH,55,16.65,38.35,4
1018-0037,SOUTH,KAPALE,Health centre - CHAM,55,4.78,50.22,4
1018-0038,SOUTH,CHALOPA,Health post - MoH,55,9.9,45.1,4
1018-0039,SOUTH,ASSALAMU HEALTH CENTRE,Health centre - CHAM,55,4.74,50.26,4
1018-0040,SOUTH,NAMIYASI HEALTH CENTRE,Health post - MoH,24,6.65,17.35,4
1018-0041,SOUTH,CHILONGA HEALTH,Dispensary - MoH,0,6.22,-6.22,0
1018-0042,SOUTH,MALEMBO HEALTH CENTRE,Health centre - MoH,24,12.87,11.13,4
1018-0043,SOUTH,NANKHWALI HEALTH CENTRE,Health centre - MoH,55,5.18,49.82,4
1018-0044,SOUTH,NKOPE HEALTH CENTRE,Health centre - CHAM,55,11.89,43.11,4
1018-0045,SOUTH,MONKEYBAY HEALTH CENTRE,Rural hospital - MoH,181,15.95,165.05,4
1018-0046,SOUTH,KOCHE HEALTH CENTRE,Health centre - CHAM,76,20.8,55.2,4
1018-0047,SOUTH,MPONDASI HEALTH CENTRE,Health centre - CHAM,24,9.72,14.28,4
1018-0048,SOUTH,NANKUMBA HEALTH CENTRE,Health centre - MoH,55,13.3,41.7,4
1019-0000,SOUTH,Mulanje District Hospital,District hospital - MoH,24,16.31,7.69,4
1019-0001,SOUTH,Mulanje District Vaccine Store,District vaccine store,105,270.37,-165.37,0
1019-0002,SOUTH,Milonde,Health centre - MoH,55,8.81,46.19,4
1019-0003,SOUTH,Mpala,Health centre - MoH,55,12.86,42.14,4
1019-0004,SOUTH,Mimosa Dispensary,Dispensary - MoH,0,13.17,-13.17,0
1019-0005,SOUTH,Rou Estate Dispensary,Health centre - Private,24,0.87,23.13,4
1019-0006,SOUTH,Namasalima Healt Centre,Health centre - CHAM,18,11.22,6.78,4
1019-0007,SOUTH,Muloza Health Centre,Health centre - MoH,55,22.99,32.01,4
1019-0008,SOUTH,Chisambo Dispensary,Health centre - Private,55,0.82,54.18,4
1019-0009,SOUTH,Naphimba,Health centre - MoH,17,8.76,8.24,4
1019-0010,SOUTH,Lujeri Tea Estate,Health centre - Private,37.5,7.4,30.1,4
1019-0011,SOUTH,Chambe Health Centre,Health centre - MoH,55,23.72,31.28,4
1019-0012,SOUTH,Kambenje Health Centre,Health centre - MoH,129,9.81,119.19,4
1019-0013,SOUTH,Mulomba Mealth Centre,Health centre - MoH,85,11.09,73.91,4
1019-0014,SOUTH,Kamwendo Health Post,Health post - MoH,55,18.53,36.47,4
1019-0015,SOUTH,Nkomaula Health Centre,Health centre - MoH,24,9.75,14.25,4
1019-0016,SOUTH,Namphungo Health Centre,Health centre - MoH,55,18.18,36.82,4
1019-0017,SOUTH,Namulenga Health Centre,Health centre - CHAM,24,4.66,19.34,4
1019-0018,SOUTH,Thuchila Health Centre,Health centre - MoH,55,18.66,36.34,4
1019-0019,SOUTH,Chonde Health Centre,Health centre - MoH,60,22.58,37.42,4
1019-0020,SOUTH,Mbiza Health Centre,Health centre - MoH,24,18.59,5.41,3
1019-0021,SOUTH,Chinyama Health Centre,Health centre - MoH,24,12.05,11.95,4
1019-0022,SOUTH,Dzenje Maternity,Maternity - MoH,24,3.06,20.94,4
1019-0023,SOUTH,Thembe Dispensary,Health centre - CHAM,55,7.22,47.78,4
1019-0024,SOUTH,Mulanje Mission Hospital,Hospital - CHAM,55,25.99,29.01,4
1019-0025,SOUTH,Chisitu Dispensary,Dispensary - MoH,24,1.32,22.68,4
1019-0026,SOUTH,Bondo Health Centre,Health centre - MoH,55,11.77,43.23,4
1020-0000,SOUTH,Phalombe District Hospital,District hospital - MoH,105,13.67,91.33,4
1020-0001,SOUTH,Phalombe DHO Vaccine Store,District vaccine store,210,170.67,39.33,3
1020-0002,SOUTH,Holy Family Hospital,Health centre - CHAM,60,15.47,44.53,4
1020-0003,SOUTH,Sukasanje,Health centre - CHAM,55,5.94,49.06,4
1020-0004,SOUTH,Nkhulambe health Centre,Health centre - MoH,79,9.04,69.96,4
1020-0005,SOUTH,Mulungu Alinafe,Health post - MoH,24,5.21,18.79,4
1020-0006,SOUTH,Nambiti Health Post,Health post - MoH,24,6.39,17.61,4
1020-0007,SOUTH,Chilinga Maternity,Health centre - MoH,24,5.83,18.17,4
1020-0008,SOUTH,Nazombe Health Centre,Health centre - MoH,24,8.95,15.05,4
1020-0009,SOUTH,Nambazo health Centre,Health centre - MoH,60,20.17,39.83,4
1020-0010,SOUTH,Migowi Health Centre,Health centre - MoH,55,11.36,43.64,4
1020-0011,SOUTH,Kalinde Health Centre,Health centre - MoH,85,15.86,69.14,4
1020-0012,SOUTH,Waluma health post,Health post - MoH,0,11.3,-11.3,0
1020-0013,SOUTH,Mpasa Health Centre,Health centre - MoH,55,16.45,38.55,4
1020-0014,SOUTH,Mwanga Health Centre,Health centre - CHAM,63,9.8,53.2,4
1020-0015,SOUTH,Nkhwayi Health Centre,Health centre - MoH,0,15.44,-15.44,0
1020-0016,SOUTH,Chitekesa Health centre,Health centre - MoH,63,17.28,45.72,4
1021-0000,SOUTH,Zomba Central Hospital,Central hospital - MoH,55,31.36,23.64,4
1021-0001,SOUTH,Zomba DHO,District vaccine store,323.5,359.05,-35.55,2
1021-0002,SOUTH,Zomba DHO Facility,District hospital - MoH,55,20.24,34.76,4
1021-0003,SOUTH,Cobbe Barracks,Hospital - Private,55,2.61,52.39,4
1021-0004,SOUTH,Mmambo Health Centre,Health centre - MoH,55,9.69,45.31,4
1021-0005,SOUTH,Nkasala Health Centre,Health centre - MoH,160,9.36,150.64,4
1021-0006,SOUTH,Masm Clinic,Health centre - Private,55,0.18,54.82,4
1021-0007,SOUTH,Chilipa Health Centre,Health centre - CHAM,55,6.66,48.34,4
1021-0008,SOUTH,Chipini Health Centre,Health centre - MoH,55,12.53,42.47,4
1021-0009,SOUTH,Chingale Health Centre,Health centre - MoH,55,15.43,39.57,4
1021-0010,SOUTH,Changalume Health Centre,Health centre - MoH,55,1.74,53.26,4
1021-0011,SOUTH,Namikango Maternity,Health centre - CHAM,60,3.26,56.74,4
1021-0012,SOUTH,Lambulira Health Centre,Health centre - MoH,55,15.1,39.9,4
1021-0013,SOUTH,Magomero Health Centre,Health centre - CHAM,17,14.03,2.97,3
1021-0014,SOUTH,Nasawa Health Centre,Health centre - MoH,110,17.34,92.66,4
1021-0015,SOUTH,Mayaka Health Centre,Health centre - MoH,55,27.82,27.18,4
1021-0016,SOUTH,Ngwelero Health Centre,Health centre - MoH,17,15.17,1.83,3
1021-0017,SOUTH,Pilimiti Hospital,Hospital - Private,55,16.45,38.55,4
1021-0018,SOUTH,Likangala Health Centre,Health centre - MoH,55,18.96,36.04,4
1021-0019,SOUTH,Chamba Health Centre,Health centre - MoH,55,12.73,42.27,4
1021-0020,SOUTH,Makwapala Health Centre,Health centre - MoH,37.5,19.7,17.8,4
1021-0021,SOUTH,Bimbi,Health centre - MoH,92.5,13.25,79.25,4
1021-0022,SOUTH,Namasalima,Health centre - MoH,55,8.16,46.84,4
1021-0023,SOUTH,St Lukes,Hospital - CHAM,105,5.86,99.14,4
1021-0024,SOUTH,Machinjiri,Health centre - MoH,55,4.88,50.12,4
